code,simples_nacional,cst00,cst02,cst10,cst15,cst20,cst30,cst40,cst41,cst50,cst51,cst53,cst60,cst61,cst70,cst90,dispositivo,descricao,obs
SP020300,,,,,,SIM,,,,,,,,,SIM,,Artigo 030 do Anexo II do RICMS,"Redução de Base de Cálculo - PRODUTOS DE COURO, SAPATOS, BOLSAS, CINTOS, CARTEIRAS E OUTROS ACESSÓRIOS",
SP020330,,,,,,SIM,,,,,,,,,SIM,,Artigo 033 do Anexo II do RICMS,Redução de Base de Cálculo - VINHO,
SP020340,,,,,,SIM,,,,,,,,,SIM,,Artigo 034 do Anexo II do RICMS,"Redução de Base de Cálculo - PERFUMES, COSMETICOS E PRODUTOS DE HIGIENE PESSOAL",
SP020390,,,,,,SIM,,,,,,,,,SIM,,Artigo 039 do Anexo II do RICMS,Redução de Base de Cálculo - PRODUTOS ALIMENTÍCIOS,
SP020450,,,,,,SIM,,,,,,,,,SIM,,Artigo 045 do Anexo II do RICMS,Redução de Base de Cálculo - CARNE,
SP020550,,,,,,SIM,,,,,,,,,SIM,,Artigo 055 do Anexo II do RICMS,"Redução de Base de Cálculo - LÂMPADAS LED, LUMINÁRIAS LED, REFLETORES LED, FITAS LED E PAINÉIS LED",
SP020610,,,,,,SIM,,,,,,,,,SIM,,Artigo 061 do Anexo II do RICMS,Redução de Base de Cálculo - SUCO DE LARANJA,
SP050710,,,,,,,,,,,SIM,,,,,,"Artigo 071 do Anexo II do RICMS, § 1º",Diferimento amparado por regime especial concedido nos termos do § 1º do artigo 71 do Anexo II do RICMS,
SP020740,,,,,,SIM,,,,,,,,,SIM,,Artigo 074 do Anexo II do RICMS,Redução de Base de Cálculo - CARNE,
SP020750,,,,,,SIM,,,,,,,,,SIM,,Artigo 075 do Anexo II do RICMS,Redução de Base de Cálculo - PNEUS E CÂMARAS DE AR - SAÍDAS INTERNAS,
SP020770,,,,,,SIM,,,,,,,,,SIM,,Artigo 077 do Anexo II do RICMS,Redução de Base de Cálculo - INSUMOS AGROPECUÁRIOS - ADUBOS,
SP040100,,,,,,,,,,,,,,,,SIM,Decreto 51.597/07,Tributação sobre a Receita Bruta - FORNECIMENTO DE ALIMENTAÇÃO,
SP040200,,,,,,,,,,,,,,,,SIM,Decreto 62.647/17,Tributação sobre a Receita Bruta -  COMÉRCIO VAREJISTA DE CARNES,
SP070010,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, I do RICMS","Não incidência - Saída de mercadoria com destino a armazém geral situado neste Estado, para depósito em nome do remetente",
SP070020,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, II do RICMS","Não incidência - Saída de mercadoria com destino a depósito fechado, localizado neste Estado, do próprio contribuinte",
SP070030,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, III do RICMS","Não incidência - Saída de mercadoria de estabelecimento referido no inciso I ou II, em retorno ao estabelecimento depositante",
SP070040,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, IV do RICMS","Não incidência - Saída de mercadoria, pertencente a terceiro, de estabelecimento de empresa de transporte ou de depósito, por conta e ordem desta, ressalvada a aplicação do disposto no inciso X do Artigo 2º",
SP070070,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, VII do RICMS","Não incidência - Saída e o correspondente retorno de equipamentos e materiais, promovidos por pessoa ou entidade adiante indicada, utilizados exclusivamente nas operações vinculadas às suas atividades ou finalidades essenciais, observado o disposto no § 4º: a) a União, os Estados e os Municípios; b) os templos de qualquer culto; c) os partidos políticos e suas fundações, as entidades sindicais dos trabalhadores e as instituições de educação ou de assistência social, sem fins lucrativos, atendidos os requisitos da lei",
SP070080,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, VIII  do RICMS","Não incidência - Saída, de estabelecimento prestador de serviço de qualquer natureza definido em lei complementar como de competência tributária do município, de mercadoria a ser ou que tenha sido utilizada na prestação de tal serviço, ressalvadas as hipóteses previstas na alínea ""b"" do inciso III do artigo 2º",
SP070090,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, IX do RICMS","Não incidência - Saída de máquinas, equipamentos, ferramentas ou objetos de uso do contribuinte, bem como de suas partes e peças, com destino a outro estabelecimento para lubrificação, limpeza, revisão, conserto, restauração ou recondicionamento ou em razão de empréstimo ou locação, desde que os referidos bens voltem ao estabelecimento de origem",
SP070100,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, X do RICMS","Não incidência - Saída, em retorno ao estabelecimento de origem, de bem mencionado no inciso anterior, ressalvadas as hipóteses de fornecimento de mercadoria previstas no inciso III do artigo 2º",
SP070140,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, XIV do RICMS",Não incidência - Saída de bem do ativo permanente,
SP070150,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, XV do RICMS","Não incidência - Saída, com destino a outro estabelecimento do mesmo titular, de material de uso ou consumo",
SP070170,SIM,,,,,,,,SIM,,,,,,,,"Artigo 7º, XVII do RICMS","Não incidência - Saída de bem ou mercadoria com destino ao exterior sob amparo do Regime Aduaneiro Especial de Exportação Temporária, bem como a posterior reimportação, em retorno, desse mesmo bem ou mercadoria, desde que observados os prazos e condições previstos na legislação federal",
SP052600,SIM,,,,,,,,,,SIM,,,,,,Artigo 260 do RICMS,"Diferimento - Saída promovida por produtor situado em território paulista com destino a comerciante, industrial, cooperativa ou qualquer outro contribuinte, exceto produtor",
SP053160,SIM,,,,,,,,,,SIM,,,,,,Artigo 316 do RICMS,"Diferimento - Prestação de serviço de transporte de carga, com início em território paulista, realizada por transportador autônomo, qualquer que seja o seu domicílio, ou por empresa transportadora estabelecida fora do território paulista, inclusive a optante pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte - “Simples Nacional” e não inscrita no Cadastro de Contribuintes",
SP053190,SIM,,,,,,,,,SIM,,,,,,,Artigo 319 do RICMS,"Suspensão - Saída de mercadoria remetida para demonstração, inclusive com destino a consumidor ou usuário final, até o momento em que ocorrer a transmissão de sua propriedade",
SP053191,SIM,,,,,,,,,SIM,,,,,,,Artigo 319-A do RICMS,"Suspensão - Saída de mercadoria remetida para mostruário, condicionada ao seu retorno ao estabelecimento de origem em até 180 (cento e oitenta) dias",
SP053270,SIM,,,,,,,,,SIM,,,,,,,Artigo 327 do RICMS,"Suspensão - Saída de moldes, matrizes, gabaritos, padrões, chapelonas, modelos e estampos, não integrados ao ativo imobilizado, para fornecimento de trabalho fora do estabelecimento, ou com destino a outro estabelecimento inscrito como contribuinte para serem utilizados na elaboração de produtos encomendados pelo remetente, e desde que devam retornar ao estabelecimento de origem dentro do prazo de 180 (cento e oitenta) dias",
SP053275,SIM,,,,,,,,,SIM,SIM,,,,,SIM,Artigo 327-J do RICMS,Suspensão ou diferimento amparado por regime especial concedido nos termos do artigo 327-J do RICMS,
SP053280,SIM,,,,,,,,,,SIM,,,,,,Artigo 328 do RICMS,"Diferimento - Saída de mercadoria, promovida por estabelecimento rural com destino a cooperativa de que fizer parte, situado neste Estado",
SP053290,SIM,,,,,,,,,,SIM,,,,,,Artigo 329 do RICMS,Diferimento - Saídas de algodão em caroço de produção paulista,
SP053300,SIM,,,,,,,,,,SIM,,,,,,Artigo 330 do RICMS,"Diferimento - Saídas de algodão em pluma ou de caroço de algodão, resultantes do beneficiamento de algodão em caroço de produção paulista",
SP053330,SIM,,,,,,,,,,SIM,,,,,,Artigo 333 do RICMS,"Diferimento - Saídas de café cru, em coco ou em grão",
SP053450,SIM,,,,,,,,,,SIM,,,,,,Artigo 345 do RICMS,"Diferimento - Saídas internas das matérias-primas de produção paulista e subprodutos destinados à fabricação de açúcar, álcool ou melaço",
SP053460,SIM,,,,,,,,,,SIM,,,,,,Artigo 346 do RICMS,"Diferimento - Saída interna dos produtos resultantes da industrialização de matérias-primas de produção paulista e subprodutos relacionados no § 4º do artigo 345, com destino à cooperativa de que faça parte o remetente",
SP053480,SIM,,,,,,,,,,SIM,,,,,,Artigo 348 do RICMS,Diferimento - Saídas de feijão,
SP053500,SIM,,,,,,,,,,SIM,,,,,,Artigo 3​50 do RICMS,Diferimento - Saídas de produtos agropecuários relacionados no artigo 350 do RICMS,
SP053512,SIM,,,,,,,,,,SIM,,,,,,Artigo 351-B do RICMS,"Diferimento - Saída interna de amendoim em baga ou em grão de estabelecimento industrial beneficiador com destino a outro estabelecimento industrial, na proporção de 40% (quarenta por cento) do valor da operação.",
SP053520,SIM,,,,,,,,,,SIM,,,,,,Artigo 352 do RICMS,Diferimento - Ope​rações com cominho,
SP053521,SIM,,,,,,,,,,SIM,,,,,,Artigo 352-A do RICMS,"Diferimento - Operações internas com trigo em grão, exceto para semeadura, classificado na posição 1001.00 da Nomenclatura Brasileira de Mercadorias - Sistema Harmonizado - NBM/SH",
SP053530,SIM,,,,,,,,,,SIM,,,,,,Artigo 353 do RICMS,"Diferimento - Saída dos produtos hortifrutigranjeiros em estado natural relacionados no artigo 36 do Anexo I do RICMS com destino a estabelecimento industrial localizado neste Estado, para fins de industrialização",
SP053540,SIM,,,,,,,,,,SIM,,,,,,Artigo 354 do RICMS,"Diferimento - Primeira saída, para o território do Estado, de produto ""in natura"" relacionado no artigo 354 do RICMS, ainda que acondicionado ou embalado para transporte, promovida pelo estabelecimento em que tiver sido produzido, com destino a estabelecimento comercial ou industrial",
SP053550,SIM,,,,,,,,,,SIM,,,,,,Artigo 355 do RICMS,Diferimento - Operações com semente destinada ao plantio,"Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053560,SIM,,,,,,,,,,SIM,,,,,,Artigo 356 do RICMS,"Diferimento - Operações com ração animal, concentrado ou suplemento, sendo o fabricante ou importador registrado no Ministério da Agricultura e do Abastecimento","Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053580,SIM,,,,,,,,,,SIM,,,,,,Artigo 358 do RICMS,"Diferimento - Operações com adubo, simples ou composto, fertilizante, calcário ou gesso, destinados exclusivamente a uso na agricultura","Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053590,SIM,,,,,,,,,,SIM,,,,,,Artigo 359 do RICMS,"Diferimento - Operações com acaricida, carrapaticida, desfolhante, desinfetante, dessecante, espalhante adesivo, estimulador ou inibidor de crescimento (regulador), germicida, fungicida, formicida, herbicida, inseticida, nematicida, parasiticida, raticida, sarnicida, soro ou medicamento de uso veterinário, vacina, vermífugo, vermicida, com destinação exclusiva a uso na agricultura, pecuária, apicultura, aqüicultura, avicultura, cunicultura, ranicultura ou sericicultura","Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053600,SIM,,,,,,,,,,SIM,,,,,,Artigo 360 do RICMS,"Diferimento - Operações realizadas com insumos destinados à alimentação animal ou a emprego na composição ou fabricação de ração animal, concentrado ou suplemento, em qualquer caso com destinação exclusiva a uso na pecuária, apicultura, aqüicultura, avicultura, cunicultura, ranicultura, ou sericicultura","Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053610,SIM,,,,,,,,,,SIM,,,,,,Artigo 361 do RICMS,Diferimento - Operações realizadas com insumos agropecuários indicados no artigo 361 do RICMS,"Aplicação suspensa enquanto vigorar o benefício fiscal de isenção previsto no artigo 41 do Anexo I e de redução da base de cálculo previsto no artigo 77 do Anexo II, exclusivamente em relação aos produtos ali indicados, conforme artigo 17 DDTT do RICMS (diferimento dos artigos 355 a 361)."
SP053620,SIM,,,,,,,,,,SIM,,,,,,Artigo 362 do RICMS,Diferimento - Saídas de coelho,
SP053630,SIM,,,,,,,,,,SIM,,,,,,Artigo 363 do RICMS,Diferimento - Saídas de aves,
SP053640,SIM,,,,,,,,,,SIM,,,,,,Artigo 364 do RICMS,Diferimento - Operações com gado em pé bovino ou suíno,
SP053650,SIM,,,,,,,,,,SIM,,,,,,Artigo 365 do RICMS,Diferimento - Operações com gado em pé das demais espécies,
SP053830,SIM,,,,,,,,,,SIM,,,,,,Artigo 383 do RICMS,"Diferimento - Saídas internas de subprodutos da matança do gado (couro ou pele, em estado fresco, salmourado ou salgado, de produto gorduroso não comestível de origem animal, inclusive o sebo, de osso, de chifre ou de casco)",
SP053880,SIM,,,,,,,,,SIM,,,,,,,"Artigo 388, § 13  do RICMS","Suspensão - Saída de equino de raça com idade superior a 3 (três) anos para fora do Estado, para cobertura ou para participação em provas ou para treinamento, e cujo imposto ainda não tenha sido pago, desde que emitida a Nota Fiscal respectiva e que o retorno do animal ocorra dentro do prazo de 60 (sessenta) dias, prorrogável, uma única vez, por período igual ou menor, a critério da repartição fiscal a que estiver vinculado o remetente",
SP053890,SIM,,,,,,,,,,SIM,,,,,,Artigo 389 do RICMS,"Diferimento - Saídas de leite cru, pasteurizado ou reidratado ",
SP053910,SIM,,,,,,,,,,SIM,,,,,,Artigo 391 do RICMS,"Diferimento - Operações internas com pescados, exceto os crustáceos e os moluscos, em estado natural, resfriados, congelados, salgados, secos, eviscerados, filetados, postejados ou defumados para conservação, desde que não enlatados ou cozidos, excluídas as saídas internas realizadas por estabelecimento que tenha como CNAE principal os códigos 1020-1/01 ou 1020-1/02",
SP054019,SIM,,,,,,,,,,SIM,,,,,,Artigo 400-W do RICMS,"Diferimento - Saída interna de insumos agropecuários indicados no § 1º do Artigo 400-W do RICMS, realizada por estabelecimento centralizador de aquisição de insumos que pertença a sociedade que exerça exclusivamente atividade agropecuária, com destino a estabelecimento do mesmo titular",
SP054020,SIM,,,,,,,,,SIM,SIM,,,,,,Artigo 402 do RICMS e Portaria CAT 22/2007,"Suspensão ou diferimento - Saída de mercadoria com destino a outro estabelecimento ou a trabalhador autônomo ou avulso que prestar serviço pessoal, num e noutro caso, para industrialização por encomenda",
SP054112,SIM,,,,,,,,,,SIM,SIM,,,,,Artigo 411-B do RICMS,"Diferimento - Saída interna de lubrificantes derivados de petróleo classificados nos códigos 2710.19.31 e 2710.19.32 da NCM, de aditivos classificados no código 3811 da NCM e de material de embalagem, quando destinados a fabricante localizado neste Estado de óleo ou graxa lubrificantes derivados de petróleo, para utilização exclusiva como matéria-prima na sua produção ou como embalagem para o seu acondicionamento",
SP054113,SIM,,,,,,,,,SIM,,,,,,,Artigo 411-C do RICMS,"Suspensão - Desembaraço aduaneiro, que ocorra em território paulista, de lubrificantes derivados do petróleo classificados nos códigos 2710.19.31 e 2710.19.32 da NCM, de aditivos classificados no código 3811 da NCM e de material de embalagem, quando a importação for realizada por fabricante localizado neste Estado de óleo ou graxa lubrificantes derivados de petróleo, para utilização exclusiva como matéria-prima na sua produção ou como embalagem para o seu acondicionamento",
SP054501,SIM,,,,,,,,,,SIM,,,,,,Artigo 450-B do RICMS,"Diferimento - Saída interna de matéria-prima, produto intermediário e material de embalagem, com destino a contribuinte beneficiário do Regime Especial Simplificado de Exportação para fabricação de mercadoria a ser exportada, quando o contribuinte fornecedor constar do despacho relativo ao credenciamento",
SP054890,SIM,,,,,,,,,SIM,SIM,,,,,,Artigo 489 do RICMS,"Diferimento ou suspensão com amparo em regime especial de ofício no interesse do contribuinte ou do fisco, estabelecido nos termos do Artigo 489 do RICMS",
SP058290,SIM,,,,,,,,,SIM,,,,,,,Artigo 29 DDTT do RICMS,Suspensão - Desembaraço aduaneiro de bens destinados à integração ao ativo imobilizado,
SP058811,SIM,,,,,,,,,,SIM,,,,,,Decreto 51.608/07,Diferimento - Saídas internas de máquinas ou implementos agrícolas,
SP059004,SIM,,,,,,,,,,SIM,,,,,,Artigo 1º do Anexo VIII do RICMS,"Diferimento - Sucessivas operações com produto primário agrícola realizadas por intermédio de Bolsa quando a mercadoria se encontra depositada em armazém geral, salvo se houver regra específica",
SP019010,SIM,,,,,,,SIM,,,,,,,,,Artigo 2º do Anexo XXI do RICMS,Isenção - Produto de artesanato,
SP059010,SIM,,,,,,,,,,SIM,,,,,,Artigo 3º do Anexo XXI do RICMS,Diferimento - Produto de artesanato,
